gross,genres,month
100189501,Adventure,5
100189501,Sci-Fi,5
88246220,Action,7
88246220,Adventure,7
88246220,Sci-Fi,7
88246220,Thriller,7
150167630,Action,7
150167630,Adventure,7
150167630,Sci-Fi,7
150167630,Thriller,7
356454367,Adventure,5
356454367,Animation,5
356454367,Comedy,5
356454367,Drama,5
356454367,Family,5
356454367,Fantasy,5
362645141,Adventure,4
362645141,Adventure,4
362645141,Drama,4
362645141,Drama,4
362645141,Family,4
362645141,Family,4
362645141,Fantasy,4
362645141,Fantasy,4
312057433,Action,4
312057433,Adventure,4
312057433,Sci-Fi,4
155111815,Action,5
155111815,Adventure,5
155111815,Drama,5
155111815,Fantasy,5
241407328,Action,5
241407328,Adventure,5
241407328,Family,5
241407328,Fantasy,5
241407328,Romance,5
208543795,Action,6
208543795,Adventure,6
208543795,Drama,6
208543795,Sci-Fi,6
38297305,Action,12
38297305,Adventure,12
38297305,Drama,12
38297305,Fantasy,12
259746958,Action,3
259746958,Adventure,3
259746958,Sci-Fi,3
238371987,Adventure,4
238371987,Animation,4
238371987,Comedy,4
238371987,Family,4
238371987,Fantasy,4
93417865,Action,5
93417865,Adventure,5
93417865,Family,5
93417865,Mystery,5
93417865,Sci-Fi,5
222487711,Action,10
222487711,Adventure,10
222487711,Animation,10
222487711,Comedy,10
222487711,Drama,10
222487711,Family,10
222487711,Sci-Fi,10
189412677,Adventure,11
189412677,Animation,11
189412677,Comedy,11
189412677,Family,11
189412677,Sci-Fi,11
665426,Adventure,10
665426,Animation,10
665426,Family,10
665426,Fantasy,10
102315545,Action,6
102315545,Adventure,6
102315545,Sci-Fi,6
217387997,Adventure,3
217387997,Animation,3
217387997,Family,3
217387997,Fantasy,3
150350192,Action,6
150350192,Sci-Fi,6
333130696,Action,7
333130696,Adventure,7
333130696,Sci-Fi,7
187991439,Adventure,10
187991439,Drama,10
187991439,Sci-Fi,10
292568851,Action,7
292568851,Adventure,7
292568851,Sci-Fi,7
292568851,Thriller,7
303001229,Adventure,11
303001229,Fantasy,11
144512310,Action,6
144512310,Action,6
144512310,Action,6
144512310,Crime,6
144512310,Crime,6
144512310,Crime,6
144512310,Thriller,6
144512310,Thriller,6
144512310,Thriller,6
127490802,Drama,12
127490802,Fantasy,12
127490802,Romance,12
146405371,Action,5
146405371,Adventure,5
146405371,Sci-Fi,5
281666058,Adventure,11
